input_text_bio,bio_tags
Is there a direct BTS line connecting sala daeng BTS and saphntaksin BTS ?,O O O O O O O B-Sala_Daeng I-Sala_Daeng I-Sala_Daeng O B-Saphan_Taksin I-Saphan_Taksin O
Can I ride BTS from BTS SURASAK to soam directly ?,O O O O O B-Surasak I-Surasak O B-Siam O O
Is there a transfer between Skytrain rathadamri and ntionalstadium ?,O O O O O B-Ratchadamri I-Ratchadamri O B-National_Stadium O
Which station do I change at when going from st louie BTS stop to chong nonusi station ?,O O O O O O O O O B-Saint_Louis I-Saint_Louis I-Saint_Louis I-Saint_Louis O B-Chong_Nonsi I-Chong_Nonsi I-Chong_Nonsi O
How many stations are between sayam BTS and chong non si ?,O O O O O B-Siam I-Siam O B-Chong_Nonsi I-Chong_Nonsi I-Chong_Nonsi O
Which line should I take from Skytrain ratchadamree to reach Skytrain saphan taksen ?,O O O O O O B-Ratchadamri I-Ratchadamri O O B-Saphan_Taksin I-Saphan_Taksin I-Saphan_Taksin O
How many stops between suriasak and BTS rajadamri ?,O O O O B-Surasak O B-Ratchadamri I-Ratchadamri O
How many stops between chong nonsii BTS stop and saintlouis ?,O O O O B-Chong_Nonsi I-Chong_Nonsi I-Chong_Nonsi I-Chong_Nonsi O B-Saint_Louis O
Do I need to change lines from BTS siaj to Skytrain sala daeng ?,O O O O O O O B-Siam I-Siam O B-Sala_Daeng I-Sala_Daeng I-Sala_Daeng O
How many stops between chong non si BTS and siaam ?,O O O O B-Chong_Nonsi I-Chong_Nonsi I-Chong_Nonsi I-Chong_Nonsi O B-Siam O
Can I ride BTS from ratjadamri BTS to saphan takesin BTS directly ?,O O O O O B-Ratchadamri I-Ratchadamri O B-Saphan_Taksin I-Saphan_Taksin I-Saphan_Taksin O O
Which station do I change at when going from ratchadaamri BTS stop to SAINT LOUIS station ?,O O O O O O O O O B-Ratchadamri I-Ratchadamri I-Ratchadamri O B-Saint_Louis I-Saint_Louis I-Saint_Louis O
Can I go from Skytrain chaon gnonsi to sayam BTS without switching ?,O O O O B-Chong_Nonsi I-Chong_Nonsi I-Chong_Nonsi O B-Siam I-Siam O O O
Which station do I change at when going from Skytrain saphajtaksin to ratchdamri station ?,O O O O O O O O O B-Saphan_Taksin I-Saphan_Taksin O B-Ratchadamri I-Ratchadamri O
Is it possible to travel from radchadamri BTS to national studiam BTS without transfer ?,O O O O O O B-Ratchadamri I-Ratchadamri O B-National_Stadium I-National_Stadium I-National_Stadium O O O
How many stops between salah daeng BTS stop and BTS siyam ?,O O O O B-Sala_Daeng I-Sala_Daeng I-Sala_Daeng I-Sala_Daeng O B-Siam I-Siam O
Is it possible to travel from sufasak to nat stadium without transfer ?,O O O O O O B-Surasak O B-National_Stadium I-National_Stadium O O O
Is it possible to travel from Skytrain rachadamri to BTS nat stadium without transfer ?,O O O O O O B-Ratchadamri I-Ratchadamri O B-National_Stadium I-National_Stadium I-National_Stadium O O O
Which interchange connects BTS rajadamri to saphantaksin station ?,O O O B-Ratchadamri I-Ratchadamri O B-Saphan_Taksin I-Saphan_Taksin O
How many stations are between Skytrain sanam keela and Skytrain reatchadamri ?,O O O O O B-National_Stadium I-National_Stadium I-National_Stadium O B-Ratchadamri I-Ratchadamri O
How do I commute from SIAM to ratjadamri BTS using BTS ?,O O O O O B-Siam O B-Ratchadamri I-Ratchadamri O O O
Is it possible to travel from suiam station to chong anonsi BTS stop without transfer ?,O O O O O O B-Siam I-Siam O B-Chong_Nonsi I-Chong_Nonsi I-Chong_Nonsi I-Chong_Nonsi O O O
Is it possible to travel from raotchadamri BTS stop to chongnosi BTS stop without transfer ?,O O O O O O B-Ratchadamri I-Ratchadamri I-Ratchadamri O B-Chong_Nonsi I-Chong_Nonsi I-Chong_Nonsi O O O
Which station do I change at when going from saintlouis BTS to BTS saphan takzin ?,O O O O O O O O O B-Saint_Louis I-Saint_Louis O B-Saphan_Taksin I-Saphan_Taksin I-Saphan_Taksin O
Which line should I take from saint louis BTS stop to reach suracak station ?,O O O O O O B-Saint_Louis I-Saint_Louis I-Saint_Louis I-Saint_Louis O O B-Surasak I-Surasak O
Which interchange connects salah daeng to BTS ratchadmri ?,O O O B-Sala_Daeng I-Sala_Daeng O B-Ratchadamri I-Ratchadamri O
Is there a direct BTS line connecting suiam station and Skytrain ratchadamli ?,O O O O O O O B-Siam I-Siam O B-Ratchadamri I-Ratchadamri O
Is there a transfer between saradaeng station and stadium national BTS stop ?,O O O O O B-Sala_Daeng I-Sala_Daeng O B-National_Stadium I-National_Stadium I-National_Stadium I-National_Stadium O
Is there a direct BTS line connecting Skytrain ratchadumri and NATIONAL STADIUM ?,O O O O O O O B-Ratchadamri I-Ratchadamri O B-National_Stadium I-National_Stadium O
How do I commute from chong nonsy station to BTS ratchadamli using BTS ?,O O O O O B-Chong_Nonsi I-Chong_Nonsi I-Chong_Nonsi O B-Ratchadamri I-Ratchadamri O O O
What is the BTS route from Skytrain national stadum to BTS chong nonsi ?,O O O O O O B-National_Stadium I-National_Stadium I-National_Stadium O B-Chong_Nonsi I-Chong_Nonsi I-Chong_Nonsi O
Can I ride BTS from Skytrain ratchadumri to BTS chong nonsri directly ?,O O O O O B-Ratchadamri I-Ratchadamri O B-Chong_Nonsi I-Chong_Nonsi I-Chong_Nonsi O O
Do I need to change lines from sjam BTS to saint luis ?,O O O O O O O B-Siam I-Siam O B-Saint_Louis I-Saint_Louis O
Which interchange connects saphat aksin to chong nonsri BTS ?,O O O B-Saphan_Taksin I-Saphan_Taksin O B-Chong_Nonsi I-Chong_Nonsi I-Chong_Nonsi O
Is there a direct BTS line connecting nat stadium BTS and SURASAK BTS stop ?,O O O O O O O B-National_Stadium I-National_Stadium I-National_Stadium O B-Surasak I-Surasak I-Surasak O
Can I go from sursak to Skytrain siyam without switching ?,O O O O B-Surasak O B-Siam I-Siam O O O
Which interchange connects Skytrain nationalstadim to suriasak BTS stop ?,O O O B-National_Stadium I-National_Stadium O B-Surasak I-Surasak I-Surasak O
What is the BTS route from saladaeng to saphan taksine station ?,O O O O O O B-Sala_Daeng O B-Saphan_Taksin I-Saphan_Taksin I-Saphan_Taksin O
Can I ride BTS from Skytrain saintlouis to Skytrain saphan taksen directly ?,O O O O O B-Saint_Louis I-Saint_Louis O B-Saphan_Taksin I-Saphan_Taksin I-Saphan_Taksin O O
Is there a transfer between sayam and BTS sala daenag ?,O O O O O B-Siam O B-Sala_Daeng I-Sala_Daeng I-Sala_Daeng O
How many stops between surassak BTS stop and saphan tasin ?,O O O O B-Surasak I-Surasak I-Surasak O B-Saphan_Taksin I-Saphan_Taksin O
Which station do I change at when going from sala dange BTS stop to chong nonsie ?,O O O O O O O O O B-Sala_Daeng I-Sala_Daeng I-Sala_Daeng I-Sala_Daeng O B-Chong_Nonsi I-Chong_Nonsi O
How many minutes between Skytrain siam and st louie BTS by BTS ?,O O O O B-Siam I-Siam O B-Saint_Louis I-Saint_Louis I-Saint_Louis O O O
Can I ride BTS from nationalstadium to rachadamri BTS stop directly ?,O O O O O B-National_Stadium O B-Ratchadamri I-Ratchadamri I-Ratchadamri O O
Does ratchadaomri BTS connect to Skytrain siamm ?,O B-Ratchadamri I-Ratchadamri O O B-Siam I-Siam O
Which line should I take from Skytrain national stdium to reach saint luis station ?,O O O O O O B-National_Stadium I-National_Stadium I-National_Stadium O O B-Saint_Louis I-Saint_Louis I-Saint_Louis O
Is there a transfer between surasack BTS and sizm station ?,O O O O O B-Surasak I-Surasak O B-Siam I-Siam O
Does radchadamri station connect to chobgnonsi station ?,O B-Ratchadamri I-Ratchadamri O O B-Chong_Nonsi I-Chong_Nonsi O
Which interchange connects SAPHAN TAKSIN station to st louie BTS stop ?,O O O B-Saphan_Taksin I-Saphan_Taksin I-Saphan_Taksin O B-Saint_Louis I-Saint_Louis I-Saint_Louis I-Saint_Louis O
Which station do I change at when going from national stadum BTS stop to BTS surasack ?,O O O O O O O O O B-National_Stadium I-National_Stadium I-National_Stadium I-National_Stadium O B-Surasak I-Surasak O
Can I ride BTS from chong non si BTS to st luis station directly ?,O O O O O B-Chong_Nonsi I-Chong_Nonsi I-Chong_Nonsi I-Chong_Nonsi O B-Saint_Louis I-Saint_Louis I-Saint_Louis O O
How many minutes between Skytrain syam and Skytrain ratchadamori by BTS ?,O O O O B-Siam I-Siam O B-Ratchadamri I-Ratchadamri O O O
How many stops between Skytrain sainlouis and saladaejg ?,O O O O B-Saint_Louis I-Saint_Louis O B-Sala_Daeng O
What is the BTS route from ratchadamree BTS stop to nat stadium BTS ?,O O O O O O B-Ratchadamri I-Ratchadamri I-Ratchadamri O B-National_Stadium I-National_Stadium I-National_Stadium O
Does ratshadamri BTS stop connect to BTS chobgnonsi ?,O B-Ratchadamri I-Ratchadamri I-Ratchadamri O O B-Chong_Nonsi I-Chong_Nonsi O
What is the BTS route from national stadiam to sala deng station ?,O O O O O O B-National_Stadium I-National_Stadium O B-Sala_Daeng I-Sala_Daeng I-Sala_Daeng O
What is the fastest way to get from BTS sayam to chongnonsee BTS stop by Skytrain ?,O O O O O O O O B-Siam I-Siam O B-Chong_Nonsi I-Chong_Nonsi I-Chong_Nonsi O O O
Is it possible to travel from st louis BTS stop to BTS nationalstadium without transfer ?,O O O O O O B-Saint_Louis I-Saint_Louis I-Saint_Louis I-Saint_Louis O B-National_Stadium I-National_Stadium O O O
What is the BTS route from BTS chong nonusi to BTS st. lewis ?,O O O O O O B-Chong_Nonsi I-Chong_Nonsi I-Chong_Nonsi O B-Saint_Louis I-Saint_Louis I-Saint_Louis O
How many stops between Skytrain salah daeng and siyam ?,O O O O B-Sala_Daeng I-Sala_Daeng I-Sala_Daeng O B-Siam O
Is there a transfer between nationalstadium BTS and SAPHAN TAKSIN BTS ?,O O O O O B-National_Stadium I-National_Stadium O B-Saphan_Taksin I-Saphan_Taksin I-Saphan_Taksin O
How many minutes between sintlouis BTS stop and siiam BTS stop by BTS ?,O O O O B-Saint_Louis I-Saint_Louis I-Saint_Louis O B-Siam I-Siam I-Siam O O O
Is it possible to travel from Skytrain st luis to Skytrain saleadaeng without transfer ?,O O O O O O B-Saint_Louis I-Saint_Louis I-Saint_Louis O B-Sala_Daeng I-Sala_Daeng O O O
Is there a transfer between surassak station and saphan taxin station ?,O O O O O B-Surasak I-Surasak O B-Saphan_Taksin I-Saphan_Taksin I-Saphan_Taksin O
How do I commute from SALA DAENG BTS to Skytrain surasek using BTS ?,O O O O O B-Sala_Daeng I-Sala_Daeng I-Sala_Daeng O B-Surasak I-Surasak O O O
Is there a transfer between BTS the national stadium and SALA DAENG BTS ?,O O O O O B-National_Stadium I-National_Stadium I-National_Stadium I-National_Stadium O B-Sala_Daeng I-Sala_Daeng I-Sala_Daeng O
Can I go from BTS cihongnonsi to Skytrain rachadamri without switching ?,O O O O B-Chong_Nonsi I-Chong_Nonsi O B-Ratchadamri I-Ratchadamri O O O
How many stations are between BTS saintlouis and sala daeng BTS stop ?,O O O O O B-Saint_Louis I-Saint_Louis O B-Sala_Daeng I-Sala_Daeng I-Sala_Daeng I-Sala_Daeng O
How many stops between suracak and datchadamri station ?,O O O O B-Surasak O B-Ratchadamri I-Ratchadamri O
Does sism connect to the national stadium BTS stop ?,O B-Siam O O B-National_Stadium I-National_Stadium I-National_Stadium I-National_Stadium I-National_Stadium O
Which interchange connects siam to chong nonsri BTS stop ?,O O O B-Siam O B-Chong_Nonsi I-Chong_Nonsi I-Chong_Nonsi I-Chong_Nonsi O
How many minutes between radchadamri BTS and st. louis by BTS ?,O O O O B-Ratchadamri I-Ratchadamri O B-Saint_Louis I-Saint_Louis O O O
Can I go from BTS surasek to sayam station without switching ?,O O O O B-Surasak I-Surasak O B-Siam I-Siam O O O
How do I commute from saphan taxin to BTS national sport stadium using BTS ?,O O O O O B-Saphan_Taksin I-Saphan_Taksin O B-National_Stadium I-National_Stadium I-National_Stadium I-National_Stadium O O O
Can I go from saphan takshin BTS to Skytrain sala deng without switching ?,O O O O B-Saphan_Taksin I-Saphan_Taksin I-Saphan_Taksin O B-Sala_Daeng I-Sala_Daeng I-Sala_Daeng O O O
Is it possible to travel from saphan takshin BTS to saladaeng station without transfer ?,O O O O O O B-Saphan_Taksin I-Saphan_Taksin I-Saphan_Taksin O B-Sala_Daeng I-Sala_Daeng O O O
What is the fastest way to get from siam BTS to safant aksin BTS by Skytrain ?,O O O O O O O O B-Siam I-Siam O B-Saphan_Taksin I-Saphan_Taksin I-Saphan_Taksin O O O
Is there a transfer between sintl ouis BTS and chong nonsri ?,O O O O O B-Saint_Louis I-Saint_Louis I-Saint_Louis O B-Chong_Nonsi I-Chong_Nonsi O
What is the fastest way to get from BTS CHONG NONSI to Skytrain saladaeng by Skytrain ?,O O O O O O O O B-Chong_Nonsi I-Chong_Nonsi I-Chong_Nonsi O B-Sala_Daeng I-Sala_Daeng O O O
Does siaam station connect to radchadamri BTS stop ?,O B-Siam I-Siam O O B-Ratchadamri I-Ratchadamri I-Ratchadamri O
Is there a direct BTS line connecting BTS saphan takshin and Skytrain saontlouis ?,O O O O O O O B-Saphan_Taksin I-Saphan_Taksin I-Saphan_Taksin O B-Saint_Louis I-Saint_Louis O
What is the BTS route from ratjadamri BTS stop to BTS national sport stadium ?,O O O O O O B-Ratchadamri I-Ratchadamri I-Ratchadamri O B-National_Stadium I-National_Stadium I-National_Stadium I-National_Stadium O
Can I ride BTS from stadium bts to siam directly ?,O O O O O B-National_Stadium I-National_Stadium O B-Siam O O
Which station do I change at when going from saint louiz BTS to BTS sulasak ?,O O O O O O O O O B-Saint_Louis I-Saint_Louis I-Saint_Louis O B-Surasak I-Surasak O
Which line should I take from sanam keela BTS to reach safant aksin BTS stop ?,O O O O O O B-National_Stadium I-National_Stadium I-National_Stadium O O B-Saphan_Taksin I-Saphan_Taksin I-Saphan_Taksin I-Saphan_Taksin O
Is there a transfer between chong nonsii BTS and Skytrain sports stadium ?,O O O O O B-Chong_Nonsi I-Chong_Nonsi I-Chong_Nonsi O B-National_Stadium I-National_Stadium I-National_Stadium O
Does saint louiis BTS connect to radchadamri station ?,O B-Saint_Louis I-Saint_Louis I-Saint_Louis O O B-Ratchadamri I-Ratchadamri O
Which interchange connects saladaejg station to chongnonsi station ?,O O O B-Sala_Daeng I-Sala_Daeng O B-Chong_Nonsi I-Chong_Nonsi O
Does surassak BTS stop connect to BTS ratjadamri ?,O B-Surasak I-Surasak I-Surasak O O B-Ratchadamri I-Ratchadamri O
Is there a transfer between saphnt aksin BTS and national stadiam ?,O O O O O B-Saphan_Taksin I-Saphan_Taksin I-Saphan_Taksin O B-National_Stadium I-National_Stadium O
Is there a transfer between BTS sala dange and chonh nonsi BTS ?,O O O O O B-Sala_Daeng I-Sala_Daeng I-Sala_Daeng O B-Chong_Nonsi I-Chong_Nonsi I-Chong_Nonsi O
Can I ride BTS from SALA DAENG BTS stop to siam BTS directly ?,O O O O O B-Sala_Daeng I-Sala_Daeng I-Sala_Daeng I-Sala_Daeng O B-Siam I-Siam O O
How many minutes between sala dseng and Skytrain SAPHAN TAKSIN by BTS ?,O O O O B-Sala_Daeng I-Sala_Daeng O B-Saphan_Taksin I-Saphan_Taksin I-Saphan_Taksin O O O
How many stops between syam BTS stop and chong nosi ?,O O O O B-Siam I-Siam I-Siam O B-Chong_Nonsi I-Chong_Nonsi O
Can I ride BTS from SALA DAENG BTS stop to ratchadamree directly ?,O O O O O B-Sala_Daeng I-Sala_Daeng I-Sala_Daeng I-Sala_Daeng O B-Ratchadamri O O
Do I need to change lines from SAINT LOUIS BTS stop to saleadaeng BTS stop ?,O O O O O O O B-Saint_Louis I-Saint_Louis I-Saint_Louis I-Saint_Louis O B-Sala_Daeng I-Sala_Daeng I-Sala_Daeng O
Which station do I change at when going from national stadum BTS to Skytrain surqsak ?,O O O O O O O O O B-National_Stadium I-National_Stadium I-National_Stadium O B-Surasak I-Surasak O
Can I ride BTS from nationarstadium BTS to soiam directly ?,O O O O O B-National_Stadium I-National_Stadium O B-Siam O O
Is there a transfer between Skytrain saphan takzin and sala dange ?,O O O O O B-Saphan_Taksin I-Saphan_Taksin I-Saphan_Taksin O B-Sala_Daeng I-Sala_Daeng O
What is the BTS route from suracak BTS stop to BTS national sport stadium ?,O O O O O O B-Surasak I-Surasak I-Surasak O B-National_Stadium I-National_Stadium I-National_Stadium I-National_Stadium O
How do I commute from radchadamri BTS to sulasak using BTS ?,O O O O O B-Ratchadamri I-Ratchadamri O B-Surasak O O O
Which station do I change at when going from ntl stadium BTS to Skytrain saradaeng ?,O O O O O O O O O B-National_Stadium I-National_Stadium I-National_Stadium O B-Sala_Daeng I-Sala_Daeng O
Does Skytrain ratchadamree connect to Skytrain st luis ?,O B-Ratchadamri I-Ratchadamri O O B-Saint_Louis I-Saint_Louis I-Saint_Louis O
Can I go from nat stadium station to suriasak without switching ?,O O O O B-National_Stadium I-National_Stadium I-National_Stadium O B-Surasak O O O
How many stations are between national statium BTS and rwtchadamri ?,O O O O O B-National_Stadium I-National_Stadium I-National_Stadium O B-Ratchadamri O
Which line should I take from siamm station to reach saphan takisin ?,O O O O O O B-Siam I-Siam O O B-Saphan_Taksin I-Saphan_Taksin O
What is the BTS route from saladaeng BTS stop to national stadum BTS stop ?,O O O O O O B-Sala_Daeng I-Sala_Daeng I-Sala_Daeng O B-National_Stadium I-National_Stadium I-National_Stadium I-National_Stadium O
What is the BTS route from saphataksin to chngn onsi station ?,O O O O O O B-Saphan_Taksin O B-Chong_Nonsi I-Chong_Nonsi I-Chong_Nonsi O
Is there a transfer between surasauk BTS and Skytrain saphan tasin ?,O O O O O B-Surasak I-Surasak O B-Saphan_Taksin I-Saphan_Taksin I-Saphan_Taksin O
Can I ride BTS from saphan taxin to Skytrain siyam directly ?,O O O O O B-Saphan_Taksin I-Saphan_Taksin O B-Siam I-Siam O O
How many minutes between BTS saint rouis and Skytrain RATCHADAMRI by BTS ?,O O O O B-Saint_Louis I-Saint_Louis I-Saint_Louis O B-Ratchadamri I-Ratchadamri O O O
Which station do I change at when going from aiam BTS to Skytrain santlouis ?,O O O O O O O O O B-Siam I-Siam O B-Saint_Louis I-Saint_Louis O
Can I ride BTS from SAPHAN TAKSIN to national sotadium BTS stop directly ?,O O O O O B-Saphan_Taksin I-Saphan_Taksin O B-National_Stadium I-National_Stadium I-National_Stadium I-National_Stadium O O
Which interchange connects rztchadamri BTS stop to sioam ?,O O O B-Ratchadamri I-Ratchadamri I-Ratchadamri O B-Siam O
Which line should I take from ntl stadium BTS to reach taksin bridge BTS stop ?,O O O O O O B-National_Stadium I-National_Stadium I-National_Stadium O O B-Saphan_Taksin I-Saphan_Taksin I-Saphan_Taksin I-Saphan_Taksin O
Which station do I change at when going from saintlouis BTS to chong nonsri BTS ?,O O O O O O O O O B-Saint_Louis I-Saint_Louis O B-Chong_Nonsi I-Chong_Nonsi I-Chong_Nonsi O
Do I need to change lines from ratchadamli BTS stop to BTS congnonsi ?,O O O O O O O B-Ratchadamri I-Ratchadamri I-Ratchadamri O B-Chong_Nonsi I-Chong_Nonsi O
Which interchange connects CHONG NONSI station to sanam keela station ?,O O O B-Chong_Nonsi I-Chong_Nonsi I-Chong_Nonsi O B-National_Stadium I-National_Stadium I-National_Stadium O
Is it possible to travel from Skytrain taksin bridge to Skytrain chong nonsy without transfer ?,O O O O O O B-Saphan_Taksin I-Saphan_Taksin I-Saphan_Taksin O B-Chong_Nonsi I-Chong_Nonsi I-Chong_Nonsi O O O
Is there a transfer between salah daeng and Skytrain stadium bts ?,O O O O O B-Sala_Daeng I-Sala_Daeng O B-National_Stadium I-National_Stadium I-National_Stadium O
